,id,title,context,question,answers_x,prediction_text,answers_y,correct
5058,572669a9dd62a815002e841a,Geology,"The principle of faunal succession is based on the appearance of fossils in sedimentary rocks. As organisms exist at the same time period throughout the world, their presence or (sometimes) absence may be used to provide a relative age of the formations in which they are found. Based on principles laid out by William Smith almost a hundred years before the publication of Charles Darwin's theory of evolution, the principles of succession were developed independently of evolutionary thought. The principle becomes quite complex, however, given the uncertainties of fossilization, the localization of fossil types due to lateral changes in habitat (facies change in sedimentary strata), and that not all fossils may be found globally at the same time.",The principle of faunal succession was developed 100 years before whose theory of evolution?,"{'text': array(['Charles Darwin', 'Charles Darwin', 'Charles Darwin',
       'Charles Darwin'], dtype=object), 'answer_start': array([374, 374, 374, 374], dtype=int32)}",Charles Darwin's,"{'text': ['Charles Darwin', 'Charles Darwin', 'Charles Darwin', 'Charles Darwin'], 'answer_start': [374, 374, 374, 374]}",False
4033,5725eb8a38643c19005ace7f,Apollo_program,"Almost all the rocks show evidence of impact process effects. Many samples appear to be pitted with micrometeoroid impact craters, which is never seen on Earth rocks, due to the thick atmosphere. Many show signs of being subjected to high pressure shock waves that are generated during impact events. Some of the returned samples are of impact melt (materials melted near an impact crater.) All samples returned from the Moon are highly brecciated as a result of being subjected to multiple impact events.","As the moon has no atmosphere, what is prevalant in many moon rock samples brought back from Apollo missions?","{'text': array(['micrometeoroid impact craters', 'micrometeoroid impact craters',
       'micrometeoroid impact craters', 'micrometeoroid impact craters',
       'micrometeoroid impact craters'], dtype=object), 'answer_start': array([100, 100, 100, 100, 100], dtype=int32)}",highly brecciated,"{'text': ['micrometeoroid impact craters', 'micrometeoroid impact craters', 'micrometeoroid impact craters', 'micrometeoroid impact craters', 'micrometeoroid impact craters'], 'answer_start': [100, 100, 100, 100, 100]}",False
2371,56f8599aa6d7ea1400e175b0,Martin_Luther,"By 1526, Luther found himself increasingly occupied in organising a new church. His Biblical ideal of congregations' choosing their own ministers had proved unworkable. According to Bainton: ""Luther's dilemma was that he wanted both a confessional church based on personal faith and experience and a territorial church including all in a given locality. If he were forced to choose, he would take his stand with the masses, and this was the direction in which he moved."" From 1525 to 1529, he established a supervisory church body, laid down a new form of worship service, and wrote a clear summary of the new faith in the form of two catechisms. Luther's thought is revolutionary to the extent that it is a theology of the cross, the negation of every affirmation: as long as the cross is at the center, the system building tendency of reason is held in check, and system building does not degenerate into System.",What did Luther form in 1525 to 1529?,"{'text': array(['supervisory church body', 'supervisory church body',
       'supervisory church'], dtype=object), 'answer_start': array([507, 507, 507], dtype=int32)}",a supervisory church body,"{'text': ['supervisory church body', 'supervisory church body', 'supervisory church'], 'answer_start': [507, 507, 507]}",False
8875,57297103af94a219006aa425,Chloroplast,"In addition to chlorophylls, another group of yellow–orange pigments called carotenoids are also found in the photosystems. There are about thirty photosynthetic carotenoids. They help transfer and dissipate excess energy, and their bright colors sometimes override the chlorophyll green, like during the fall, when the leaves of some land plants change color. β-carotene is a bright red-orange carotenoid found in nearly all chloroplasts, like chlorophyll a. Xanthophylls, especially the orange-red zeaxanthin, are also common. Many other forms of carotenoids exist that are only found in certain groups of chloroplasts.",Why do carotenoids make leaves change color in the fall?,"{'text': array(['their bright colors sometimes override the chlorophyll green',
       'override the chlorophyll green', 'override the chlorophyll green'],
      dtype=object), 'answer_start': array([227, 257, 257], dtype=int32)}","They help transfer and dissipate excess energy, and their bright colors sometimes override the chlorophyll green","{'text': ['their bright colors sometimes override the chlorophyll green', 'override the chlorophyll green', 'override the chlorophyll green'], 'answer_start': [227, 257, 257]}",False
841,573399b54776f41900660e65,Warsaw,"Like many cities in Central and Eastern Europe, infrastructure in Warsaw suffered considerably during its time as an Eastern Bloc economy – though it is worth mentioning that the initial Three-Year Plan to rebuild Poland (especially Warsaw) was a major success, but what followed was very much the opposite. However, over the past decade Warsaw has seen many improvements due to solid economic growth, an increase in foreign investment as well as funding from the European Union. In particular, the city's metro, roads, sidewalks, health care facilities and sanitation facilities have improved markedly.","What was a major success, especially in rebuilding Warsaw?","{'text': array(['Three-Year Plan', 'Three-Year Plan', 'Three-Year Plan'],
      dtype=object), 'answer_start': array([187, 187, 187], dtype=int32)}",initial Three-Year Plan to rebuild Poland,"{'text': ['Three-Year Plan', 'Three-Year Plan', 'Three-Year Plan'], 'answer_start': [187, 187, 187]}",False
2579,56f8c0cd9b226e1400dd0f37,Martin_Luther,"Since the 1980s, Lutheran Church denominations have repudiated Martin Luther's statements against the Jews and have rejected the use of them to incite hatred against Lutherans. Strommen et al.'s 1970 survey of 4,745 North American Lutherans aged 15–65 found that, compared to the other minority groups under consideration, Lutherans were the least prejudiced toward Jews. Nevertheless, Professor Richard (Dick) Geary, former Professor of Modern History at the University of Nottingham, England, and the author of Hitler and Nazism (Routledge 1993), wrote in the journal History Today an article on who voted for the Nazis in elections held from 1928-1933, where he claimed that from his research he found that the Nazis gained disproportionately more votes from Protestant than Catholic areas of Germany.",Who found that Protestants voted for Nazis more than Catholics?,"{'text': array(['Richard (Dick) Geary', 'Richard (Dick) Geary', 'Geary'],
      dtype=object), 'answer_start': array([396, 396, 411], dtype=int32)}",Professor Richard (Dick) Geary,"{'text': ['Richard (Dick) Geary', 'Richard (Dick) Geary', 'Geary'], 'answer_start': [396, 396, 411]}",False
8300,572881704b864d1900164a52,Yuan_dynasty,"The Chinese medical tradition of the Yuan had ""Four Great Schools"" that the Yuan inherited from the Jin dynasty. All four schools were based on the same intellectual foundation, but advocated different theoretical approaches toward medicine. Under the Mongols, the practice of Chinese medicine spread to other parts of the empire. Chinese physicians were brought along military campaigns by the Mongols as they expanded towards the west. Chinese medical techniques such as acupuncture, moxibustion, pulse diagnosis, and various herbal drugs and elixirs were transmitted westward to the Middle East and the rest of the empire. Several medical advances were made in the Yuan period. The physician Wei Yilin (1277–1347) invented a suspension method for reducing dislocated joints, which he performed using anesthetics. The Mongol physician Hu Sihui described the importance of a healthy diet in a 1330 medical treatise.",How did Chinese medicine spread?,"{'text': array(['Chinese physicians were brought along military campaigns by the Mongols',
       'to other parts of the empire', 'Under the Mongols'], dtype=object), 'answer_start': array([331, 301, 242], dtype=int32)}","Under the Mongols, the practice of Chinese medicine spread to other parts of the empire","{'text': ['Chinese physicians were brought along military campaigns by the Mongols', 'to other parts of the empire', 'Under the Mongols'], 'answer_start': [331, 301, 242]}",False
2831,570953a7efce8f15003a7e01,Sky_(United_Kingdom),"In 2007, BSkyB and Virgin Media became involved in a dispute over the carriage of Sky channels on cable TV. The failure to renew the existing carriage agreements negotiated with NTL and Telewest resulted in Virgin Media removing the basic channels from the network on 1 March 2007. Virgin Media claimed that BSkyB had substantially increased the asking price for the channels, a claim which BSkyB denied, on the basis that their new deal offered ""substantially more value"" by including HD channels and Video On Demand content which was not previously carried by cable.","What additional srevice did BSkyB offer besides HD channels that they claimed offered ""substantially more value""?","{'text': array(['Video On Demand', 'Video On Demand content',
       'HD channels and Video On Demand'], dtype=object), 'answer_start': array([502, 502, 486], dtype=int32)}",Video,"{'text': ['Video On Demand', 'Video On Demand content', 'HD channels and Video On Demand'], 'answer_start': [502, 502, 486]}",False
2247,56f80fdfaef2371900625d95,Martin_Luther,"Archbishop Albrecht of Mainz and Magdeburg did not reply to Luther's letter containing the 95 Theses. He had the theses checked for heresy and in December 1517 forwarded them to Rome. He needed the revenue from the indulgences to pay off a papal dispensation for his tenure of more than one bishopric. As Luther later noted, ""the pope had a finger in the pie as well, because one half was to go to the building of St Peter's Church in Rome"".",To whom did Luther send a letter containing his 95 Theses?,"{'text': array(['Archbishop Albrecht', 'Archbishop Albrecht',
       'Archbishop Albrecht of Mainz and Magdeburg'], dtype=object), 'answer_start': array([0, 0, 0], dtype=int32)}",Rome,"{'text': ['Archbishop Albrecht', 'Archbishop Albrecht', 'Archbishop Albrecht of Mainz and Magdeburg'], 'answer_start': [0, 0, 0]}",False
2252,56f811bdaef2371900625d9f,Martin_Luther,"Pope Leo X was used to reformers and heretics, and he responded slowly, ""with great care as is proper."" Over the next three years he deployed a series of papal theologians and envoys against Luther, which served only to harden the reformer's anti-papal theology. First, the Dominican theologian Sylvester Mazzolini drafted a heresy case against Luther, whom Leo then summoned to Rome. The Elector Frederick persuaded the pope to have Luther examined at Augsburg, where the Imperial Diet was held. There, in October 1518, under questioning by papal legate Cardinal Cajetan Luther stated that he did not consider the papacy part of the biblical Church because historistical interpretation of Bible prophecy concluded that the papacy was the Antichrist. The prophecies concerning the Antichrist soon became the center of controversy. The hearings degenerated into a shouting match. More than his writing the 95 Theses, Luther's confrontation with the church cast him as an enemy of the pope. Cajetan's original instructions had been to arrest Luther if he failed to recant, but the legate desisted from doing so. Luther slipped out of the city at night, unbeknownst to Cajetan.",Which Pope sought to undermine Luther's theories?,"{'text': array(['Pope Leo X', 'Pope Leo X', 'Leo X'], dtype=object), 'answer_start': array([0, 0, 5], dtype=int32)}",Cardinal Cajetan Luther,"{'text': ['Pope Leo X', 'Pope Leo X', 'Leo X'], 'answer_start': [0, 0, 5]}",False
4118,57268f2bf1498d1400e8e3c4,European_Union_law,"Following the Nice Treaty, there was an attempt to reform the constitutional law of the European Union and make it more transparent; this would have also produced a single constitutional document. However, as a result of the referendum in France and the referendum in the Netherlands, the 2004 Treaty establishing a Constitution for Europe never came into force. Instead, the Lisbon Treaty was enacted. Its substance was very similar to the proposed constitutional treaty, but it was formally an amending treaty, and – though it significantly altered the existing treaties – it did not completely replace them.",What reform was attempted following the Nice Treaty?,"{'text': array(['there was an attempt to reform the constitutional law of the European Union and make it more transparent',
       'an attempt to reform the constitutional law of the European Union and make it more transparent',
       'there was an attempt to reform the constitutional law of the European Union and make it more transparent',
       'an attempt to reform the constitutional law of the European Union and make it more transparent'],
      dtype=object), 'answer_start': array([27, 37, 27, 37], dtype=int32)}",constitutional law of the European Union,"{'text': ['there was an attempt to reform the constitutional law of the European Union and make it more transparent', 'an attempt to reform the constitutional law of the European Union and make it more transparent', 'there was an attempt to reform the constitutional law of the European Union and make it more transparent', 'an attempt to reform the constitutional law of the European Union and make it more transparent'], 'answer_start': [27, 37, 27, 37]}",False
2632,5705e33f52bb89140068964f,Southern_California,"The 8- and 10-county definitions are not used for the greater Southern California Megaregion, one of the 11 megaregions of the United States. The megaregion's area is more expansive, extending east into Las Vegas, Nevada, and south across the Mexican border into Tijuana.",Which border does the megaregion extend over?,"{'text': array(['Mexican', 'Mexican', 'Mexican'], dtype=object), 'answer_start': array([243, 243, 243], dtype=int32)}",Mexican border into Tijuana,"{'text': ['Mexican', 'Mexican', 'Mexican'], 'answer_start': [243, 243, 243]}",False
8137,572863c72ca10214002da2d4,Yuan_dynasty,"Genghis Khan united the Mongol and Turkic tribes of the steppes and became Great Khan in 1206. He and his successors expanded the Mongol empire across Asia. Under the reign of Genghis' third son, Ögedei Khan, the Mongols destroyed the weakened Jin dynasty in 1234, conquering most of northern China. Ögedei offered his nephew Kublai a position in Xingzhou, Hebei. Kublai was unable to read Chinese but had several Han Chinese teachers attached to him since his early years by his mother Sorghaghtani. He sought the counsel of Chinese Buddhist and Confucian advisers. Möngke Khan succeeded Ögedei's son, Güyük, as Great Khan in 1251. He granted his brother Kublai control over Mongol held territories in China. Kublai built schools for Confucian scholars, issued paper money, revived Chinese rituals, and endorsed policies that stimulated agricultural and commercial growth. He adopted as his capital city Kaiping in Inner Mongolia, later renamed Shangdu.",Which tribes did Genghis Khan unite?,"{'text': array(['Mongol and Turkic tribes', 'Mongol and Turkic tribes',
       'the Mongol and Turkic tribes'], dtype=object), 'answer_start': array([24, 24, 20], dtype=int32)}",Mongol and Turkic,"{'text': ['Mongol and Turkic tribes', 'Mongol and Turkic tribes', 'the Mongol and Turkic tribes'], 'answer_start': [24, 24, 20]}",False
307,56beb6f23aeaaa14008c92a5,Super_Bowl_50,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination from a year earlier. The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49–15, racking up 487 yards and forcing seven turnovers.",What was the final score of the game between the Panthers and the Seahawks?,"{'text': array(['31–24', '31–24', '31–24'], dtype=object), 'answer_start': array([163, 163, 163], dtype=int32)}",49–15,"{'text': ['31–24', '31–24', '31–24'], 'answer_start': [163, 163, 163]}",False
2929,570d28bdb3d812140066d4a5,Victoria_(Australia),"The centre-left Australian Labor Party (ALP), the centre-right Liberal Party of Australia, the rural-based National Party of Australia, and the environmentalist Australian Greens are Victoria's main political parties. Traditionally, Labor is strongest in Melbourne's working class western and northern suburbs, and the regional cities of Ballarat, Bendigo and Geelong. The Liberals' main support lies in Melbourne's more affluent eastern and outer suburbs, and some rural and regional centres. The Nationals are strongest in Victoria's North Western and Eastern rural regional areas. The Greens, who won their first lower house seats in 2014, are strongest in inner Melbourne.",Which party is strongest in Victoria's northwestern and eastern regions?,"{'text': array(['National Party', 'National Party of Australia', 'Nationals'],
      dtype=object), 'answer_start': array([107, 107, 498], dtype=int32)}",The Nationals,"{'text': ['National Party', 'National Party of Australia', 'Nationals'], 'answer_start': [107, 107, 498]}",False
8636,572940973f37b319004781a8,Intergovernmental_Panel_on_Climate_Change,"This projection was not included in the final summary for policymakers. The IPCC has since acknowledged that the date is incorrect, while reaffirming that the conclusion in the final summary was robust. They expressed regret for ""the poor application of well-established IPCC procedures in this instance"". The date of 2035 has been correctly quoted by the IPCC from the WWF report, which has misquoted its own source, an ICSI report ""Variations of Snow and Ice in the past and at present on a Global and Regional Scale"".",What report had the correct date?,"{'text': array(['""Variations of Snow and Ice in the past and at present on a Global and Regional Scale""',
       'the IPCC from the WWF report', 'the WWF report'], dtype=object), 'answer_start': array([433, 352, 366], dtype=int32)}",WWF report,"{'text': ['""Variations of Snow and Ice in the past and at present on a Global and Regional Scale""', 'the IPCC from the WWF report', 'the WWF report'], 'answer_start': [433, 352, 366]}",False
8855,57296f85af94a219006aa405,Chloroplast,"The chloroplasts of some hornworts and algae contain structures called pyrenoids. They are not found in higher plants. Pyrenoids are roughly spherical and highly refractive bodies which are a site of starch accumulation in plants that contain them. They consist of a matrix opaque to electrons, surrounded by two hemispherical starch plates. The starch is accumulated as the pyrenoids mature. In algae with carbon concentrating mechanisms, the enzyme rubisco is found in the pyrenoids. Starch can also accumulate around the pyrenoids when CO2 is scarce. Pyrenoids can divide to form new pyrenoids, or be produced ""de novo"".",What do pyrenoids look like?,"{'text': array(['highly refractive', 'highly refractive',
       'roughly spherical and highly refractive'], dtype=object), 'answer_start': array([155, 155, 133], dtype=int32)}",spherical and highly refractive bodies,"{'text': ['highly refractive', 'highly refractive', 'roughly spherical and highly refractive'], 'answer_start': [155, 155, 133]}",False
7628,5727efabff5b5019007d98e2,Doctor_Who,"Doctor Who is a British science-fiction television programme produced by the BBC since 1963. The programme depicts the adventures of the Doctor, a Time Lord—a space and time-travelling humanoid alien. He explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired. Accompanied by companions, the Doctor combats a variety of foes, while working to save civilisations and help people in need.",Who is the producer of Doctor Who?,"{'text': array(['BBC', 'BBC', 'BBC'], dtype=object), 'answer_start': array([77, 77, 77], dtype=int32)}",the BBC,"{'text': ['BBC', 'BBC', 'BBC'], 'answer_start': [77, 77, 77]}",False
2219,56f80604a6d7ea1400e17388,Martin_Luther,"According to scholars Walter Krämer, Götz Trenkler, Gerhard Ritter, and Gerhard Prause, the story of the posting on the door, even though it has settled as one of the pillars of history, has little foundation in truth. The story is based on comments made by Philipp Melanchthon, though it is thought that he was not in Wittenberg at the time.",What story of little truth is a pillar of history?,"{'text': array(['posting on the door', 'story of the posting on the door',
       'posting on the door'], dtype=object), 'answer_start': array([105,  92, 105], dtype=int32)}",the posting on the door,"{'text': ['posting on the door', 'story of the posting on the door', 'posting on the door'], 'answer_start': [105, 92, 105]}",False
9863,57308f6b8ab72b1400f9c581,Imperialism,"Orientalism, as theorized by Edward Said, refers to how the West developed an imaginative geography of the East. This imaginative geography relies on an essentializing discourse that represents neither the diversity nor the social reality of the East. Rather, by essentializing the East, this discourse uses the idea of place-based identities to create difference and distance between ""we"" the West and ""them"" the East, or ""here"" in the West and ""there"" in the East. This difference was particularly apparent in textual and visual works of early European studies of the Orient that positioned the East as irrational and backward in opposition to the rational and progressive West. Defining the East as a negative vision of itself, as its inferior, not only increased the West’s sense of self, but also was a way of ordering the East and making it known to the West so that it could be dominated and controlled. The discourse of Orientalism therefore served as an ideological justification of early Western imperialism, as it formed a body of knowledge and ideas that rationalized social, cultural, political, and economic control of other territories.",Early Western texts referencing the East describe the people as being what?,"{'text': array(['irrational and backward', 'them', 'as irrational and backward',
       'irrational and backward', 'irrational and backward'], dtype=object), 'answer_start': array([605, 404, 602, 605, 605], dtype=int32)}",irrational,"{'text': ['irrational and backward', 'them', 'as irrational and backward', 'irrational and backward', 'irrational and backward'], 'answer_start': [605, 404, 602, 605, 605]}",False
7688,5727fed73acd2414000df1a1,Doctor_Who,"A BBC audience research survey conducted in 1972 found that, by their own definition of violence (""any act[s] which may cause physical and/or psychological injury, hurt or death to persons, animals or property, whether intentional or accidental"") Doctor Who was the most violent of the drama programmes the corporation produced at the time. The same report found that 3% of the surveyed audience regarded the show as ""very unsuitable"" for family viewing. Responding to the findings of the survey in The Times newspaper, journalist Philip Howard maintained that, ""to compare the violence of Dr Who, sired by a horse-laugh out of a nightmare, with the more realistic violence of other television series, where actors who look like human beings bleed paint that looks like blood, is like comparing Monopoly with the property market in London: both are fantasies, but one is meant to be taken seriously.""",Which show was voted most violent of the BBC shows in a 1972 survey?,"{'text': array(['Doctor Who', 'Doctor Who', 'Doctor Who'], dtype=object), 'answer_start': array([247, 247, 247], dtype=int32)}",Doctor,"{'text': ['Doctor Who', 'Doctor Who', 'Doctor Who'], 'answer_start': [247, 247, 247]}",False
1478,56e0ff5dcd28a01900c673fc,Nikola_Tesla,"While experimenting, Tesla inadvertently faulted a power station generator, causing a power outage. In August 1917, Tesla explained what had happened in The Electrical Experimenter: ""As an example of what has been done with several hundred kilowatts of high frequency energy liberated, it was found that the dynamos in a power house six miles away were repeatedly burned out, due to the powerful high frequency currents set up in them, and which caused heavy sparks to jump through the windings and destroy the insulation!""",What happened to the dynamos in the power station?,"{'text': array(['repeatedly burned out', 'repeatedly burned out',
       'repeatedly burned out'], dtype=object), 'answer_start': array([353, 353, 353], dtype=int32)}",burned out,"{'text': ['repeatedly burned out', 'repeatedly burned out', 'repeatedly burned out'], 'answer_start': [353, 353, 353]}",False
6858,5728e715ff5b5019007da918,Civil_disobedience,"Some forms of civil disobedience, such as illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins, make it more difficult for a system to function. In this way, they might be considered coercive. Brownlee notes that ""although civil disobedients are constrained in their use of coercion by their conscientious aim to engage in moral dialogue, nevertheless they may find it necessary to employ limited coercion in order to get their issue onto the table."" The Plowshares organization temporarily closed GCSB Waihopai by padlocking the gates and using sickles to deflate one of the large domes covering two satellite dishes.",How can you protest against big companies in a non violent way?,"{'text': array(['padlocking the gates',
       'illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins',
       'boycotts', 'illegal boycotts', 'sit-ins'], dtype=object), 'answer_start': array([569,  42,  50,  42, 141], dtype=int32)}",padlocking the gates and using sickles to deflate one of the large domes covering two satellite dishes,"{'text': ['padlocking the gates', 'illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins', 'boycotts', 'illegal boycotts', 'sit-ins'], 'answer_start': [569, 42, 50, 42, 141]}",False
7832,57281f203acd2414000df4f9,Doctor_Who,"The original logo used for the First Doctor (and briefly for the Second Doctor) was reused in a slightly modified format for the 50th anniversary special ""The Day of the Doctor"" during the Eleventh Doctor's run. The logo used in the television movie featuring the Eighth Doctor was an updated version of the logo used for the Third Doctor. The logo from 1973–80 was used for the Third Doctor's final season and for the majority of the Fourth Doctor's tenure. The following logo, while most associated with the Fifth Doctor, was also used for the Fourth Doctor's final season. The logo used for the Ninth Doctor was slightly edited for the Tenth Doctor, but it retained the same general appearance. The logo used for the Eleventh Doctor had the ""DW"" TARDIS insignia placed to the right in 2012, but the same font remained, albeit with a slight edit to the texture every episode, with the texture relating to some aspect of the story. The logo for the Twelfth Doctor had the ""DW"" TARDIS insignia removed and the font was subtly altered, as well as made slightly larger. As of 2014, the logo used for the Third and Eighth Doctors is the primary logo used on all media and merchandise relating to past Doctors, and the current Doctor Who logo is used for all merchandise relating to the current Doctor.",Which Doctor was the current Doctor during the 50th Anniversary special?,"{'text': array(['the Eleventh Doctor', 'the Eleventh Doctor', 'the Eleventh'],
      dtype=object), 'answer_start': array([185, 185, 185], dtype=int32)}",Twelfth Doctor,"{'text': ['the Eleventh Doctor', 'the Eleventh Doctor', 'the Eleventh'], 'answer_start': [185, 185, 185]}",False
3590,571c96095efbb31900334dbf,Oxygen,"Oxygen is more soluble in water than nitrogen is. Water in equilibrium with air contains approximately 1 molecule of dissolved O
2 for every 2 molecules of N
2, compared to an atmospheric ratio of approximately 1:4. The solubility of oxygen in water is temperature-dependent, and about twice as much (14.6 mg·L−1) dissolves at 0 °C than at 20 °C (7.6 mg·L−1). At 25 °C and 1 standard atmosphere (101.3 kPa) of air, freshwater contains about 6.04 milliliters (mL) of oxygen per liter, whereas seawater contains about 4.95 mL per liter. At 5 °C the solubility increases to 9.0 mL (50% more than at 25 °C) per liter for water and 7.2 mL (45% more) per liter for sea water.",In what type of water does oxygen dissolve more slowly?,"{'text': array(['seawater', 'seawater', 'seawater', 'seawater', 'sea water'],
      dtype=object), 'answer_start': array([492, 492, 492, 492, 659], dtype=int32)}",Water in equilibrium with air,"{'text': ['seawater', 'seawater', 'seawater', 'seawater', 'sea water'], 'answer_start': [492, 492, 492, 492, 659]}",False
9702,573005b9947a6a140053cf6d,Islamism,"The quick and decisive defeat of the Arab troops during the Six-Day War by Israeli troops constituted a pivotal event in the Arab Muslim world. The defeat along with economic stagnation in the defeated countries, was blamed on the secular Arab nationalism of the ruling regimes. A steep and steady decline in the popularity and credibility of secular, socialist and nationalist politics ensued. Ba'athism, Arab socialism, and Arab nationalism suffered, and different democratic and anti-democratic Islamist movements inspired by Maududi and Sayyid Qutb gained ground.",What happened to the credibility of secular politics as a result of the Six-Day War?,"{'text': array(['A steep and steady decline', 'A steep and steady decline',
       'steep and steady decline'], dtype=object), 'answer_start': array([279, 279, 281], dtype=int32)}",decline,"{'text': ['A steep and steady decline', 'A steep and steady decline', 'steep and steady decline'], 'answer_start': [279, 279, 281]}",False
10148,5730d3adaca1c71400fe5af7,United_Methodist_Church,"All clergy appointments are made and fixed annually by the resident bishop on the advice of the Annual Conference Cabinet, which is composed of the Area Provost/Dean (if one is appointed) and the several District Superintendents of the Districts of the Annual Conference. Until the bishop has read the appointments at the session of the Annual Conference, no appointments are officially fixed. Many Annual Conferences try to avoid making appointment changes between sessions of Annual Conference. While an appointment is made one year at a time, it is most common for an appointment to be continued for multiple years. Appointment tenures in extension ministries, such as military chaplaincy, campus ministry, missions, higher education and other ministries beyond the local church are often even longer.",No appointment is official fixed until what occurs?,"{'text': array(['bishop has read the appointments at the session of the Annual Conference',
       'Until the bishop has read the appointments at the session of the Annual Conference,',
       'the bishop has read the appointments at the session of the Annual Conference'],
      dtype=object), 'answer_start': array([282, 272, 278], dtype=int32)}",Until the bishop has read the appointments at the session of the Annual Conference,"{'text': ['bishop has read the appointments at the session of the Annual Conference', 'Until the bishop has read the appointments at the session of the Annual Conference,', 'the bishop has read the appointments at the session of the Annual Conference'], 'answer_start': [282, 272, 278]}",False
2383,56f85cf0aef237190062601c,Martin_Luther,"In response to demands for a German liturgy, Luther wrote a German Mass, which he published in early 1526. He did not intend it as a replacement for his 1523 adaptation of the Latin Mass but as an alternative for the ""simple people"", a ""public stimulation for people to believe and become Christians."" Luther based his order on the Catholic service but omitted ""everything that smacks of sacrifice""; and the Mass became a celebration where everyone received the wine as well as the bread. He retained the elevation of the host and chalice, while trappings such as the Mass vestments, altar, and candles were made optional, allowing freedom of ceremony. Some reformers, including followers of Huldrych Zwingli, considered Luther's service too papistic; and modern scholars note the conservatism of his alternative to the Catholic mass. Luther's service, however, included congregational singing of hymns and psalms in German, as well as of parts of the liturgy, including Luther's unison setting of the Creed. To reach the simple people and the young, Luther incorporated religious instruction into the weekday services in the form of the catechism. He also provided simplified versions of the baptism and marriage services.",What parts of the original Catholic mass did Luther leave out of  his new mass?,"{'text': array(['sacrifice', 'everything that smacks of sacrifice',
       'everything that smacks of sacrifice'], dtype=object), 'answer_start': array([388, 362, 362], dtype=int32)}","everything that smacks of sacrifice""","{'text': ['sacrifice', 'everything that smacks of sacrifice', 'everything that smacks of sacrifice'], 'answer_start': [388, 362, 362]}",False
1968,56e75a9037bdd419002c3ec9,Teacher,"Currently detention is one of the most common punishments in schools in the United States, the UK, Ireland, Singapore and other countries. It requires the pupil to remain in school at a given time in the school day (such as lunch, recess or after school); or even to attend school on a non-school day, e.g. ""Saturday detention"" held at some schools. During detention, students normally have to sit in a classroom and do work, write lines or a punishment essay, or sit quietly.",Where does the pupil remain while in detention,"{'text': array(['in schools', 'school', 'school'], dtype=object), 'answer_start': array([ 58, 174, 174], dtype=int32)}",It requires the pupil to remain in school at a given time in the school day,"{'text': ['in schools', 'school', 'school'], 'answer_start': [58, 174, 174]}",False
7675,5727f8342ca10214002d9a7e,Doctor_Who,"The 2005 version of Doctor Who is a direct plot continuation of the original 1963–1989 series[note 2] and the 1996 telefilm. This is similar to the 1988 continuation of Mission Impossible, but differs from most other series relaunches which have either been reboots (for example, Battlestar Galactica and Bionic Woman[citation needed]) or set in the same universe as the original but in a different time period and with different characters (for example, Star Trek: The Next Generation and spin-offs[citation needed]).",What year was the only film version of Doctor Who shown?,"{'text': array(['1996', '1996', '1996'], dtype=object), 'answer_start': array([110, 110, 110], dtype=int32)}",2005,"{'text': ['1996', '1996', '1996'], 'answer_start': [110, 110, 110]}",False
10518,573796edc3c5551400e51f36,Force,"The strong force only acts directly upon elementary particles. However, a residual of the force is observed between hadrons (the best known example being the force that acts between nucleons in atomic nuclei) as the nuclear force. Here the strong force acts indirectly, transmitted as gluons, which form part of the virtual pi and rho mesons, which classically transmit the nuclear force (see this topic for more). The failure of many searches for free quarks has shown that the elementary particles affected are not directly observable. This phenomenon is called color confinement.",How are nuclear forces transmitted?,"{'text': array(['as gluons', 'as gluons', 'as gluons', 'as gluons'], dtype=object), 'answer_start': array([282, 282, 282, 282], dtype=int32)}","as gluons, which form part of the virtual pi and rho mesons","{'text': ['as gluons', 'as gluons', 'as gluons', 'as gluons'], 'answer_start': [282, 282, 282, 282]}",False
